Auteur(s),Titre,Edition,Date,ISBN
Le Probleme De L'Evolution Du Style Dans L'Art Moderne,Principes fondamentaux de l'histoire de l'art(le probleme de l',Gallimard,1966,1865197387
De Francis Ryck,La Peau de Torpédo,Gallimard,1998,1865002127
De Marielle DNone Khoury,Henry Purcell,Illustrations de Charlotte Voake,1999,1864975367
De Beatrix Potter,Sophie Canétang,Gallimard Jeunesse,1995,1864910027
Collectif,"1895, n°42/févr. 2004",Association Française de Recherche sur les Livres et les Objets Culturels de l'Enfance (AFRELOCE),2004,1021741867
Services spéciaux None942-None954,Pour la France,Rocher,2001,1667459157
"capacité en droit, DEUG droit, AES, préparation aux concours administratifs","Droit constitutionnel et administratif / capacité en droit, DEUG droit, AES, préparation aux concour",Librairie générale de droit et de jurisprudence,1998,1227893247
tout pour bien s'y préparer et la vivre au naturelNoneNoneNone,La ménopause au quotidien,Éditions Télémaque,2005,1182200217
"suivis des Commentaires de Ferdinand, ancien rat de tranchées",Mémoires d'un rat,Tallandier,2008,1088154897
La guénochée à Rackham le Rouge,"Les équérouées à Tintin

La guénochée a Rackam Le Rouge",Rue Des Scribes,2005,1029435667
De Rachel Hausfater,"Miralaide, Mirabelle",Flam Jeunesse,2009,1854279537
"Clavière, Bernard / Schaller, Christian-Tal",Et si on arrêtait un peu de manger... / de temps en temps,Nature Partage,2008,982261787
Collectif,Le portugais économique et commercial,Langues pour tous,1990,1669474697
Édité par Olivia Benhamou,Livre de la tranquillite (Le),J'ai Lu,2002,1645181127
None,"La terre des autres.

1 - Les mauvais numéros",Presses Universitaires de Grenoble,2000,1229391397
De Docteur Gérard Apfeldorfer,Mangez en paix !,Odile Jacob,2008,1197379687
De Éric Simard,Les chimères de la mort,Mango,2001,1195087747
Le Diable en Ete,Major Barbara,Avant-scène,2003,1185699727
De Heather Noah,S'épanouir en attendant bébé,Illustrations de Cabu,2000,1094514657
les enchères du bridge d'aujourd'hui,Les conventions,Prat,1996,1076597347
"Dirigé par Mark HNone Beers, Robert Berkow",Manuel merck - diagnostic et therapeutique 3eme edition 2000,Édité par Merck research laboratories,2000,1021187287
None,Audiberti,Gallimard,1964,1865281567
4e allemand seconde langue,Grenzen ... los !,Nathan,1991,1843746407
niveau 2,L'anglais activé,Nathan,2001,1836639737
l'intégrale,Rubrique-à-brac,Dargaud,2002,1730446887
De Douglas Adams,"Le Guide du routard galactique

2 - Le Dernier restaurant avant la fin du monde",Traduit par Jean Bonnefoy,1982,1728196777
Bacquart,Tribal Arts Of Africa /anglais,Thames & Hudson,2002,859749319
"organes, systèmes, fonctions",Le corps humain,Cerise bleue,2008,1177198567
Perspectives d'interprétation du concept de patrimoine,Patrimoine immatériel,Harmattan,2006,1639497337
De Montorgueil,Dressage,La Musardine,2003,1092788077
Région d'Aurillac,"Églises romanes de Haute-Auvergne.

II, Région d'Aurillac - Églises romanes de Haute-Auvergne",Illustrations de Pascale Moulier,2000,1025702717
Genres de la presse écrite et analyse de discours,"SEMEN, n° 13",Presses universitaires de Franche-Comté,2001,1089230137
De Dalaï-Lama,La Compassion universelle. L'intégrale des entretiens d'Edmond Blattchen,Alice éditions,1999,1005318157
récupérateurs,10 - GetBackers,Traduit par Sylvain Chollet,2005,1089506087
"De Bibliothèque nationale, Département des manuscrits","Catalogue général des manuscrits latins / Bibliothèque nationale

1, Tables des tomes III à VI (N 2693 à 3775) - Catalogue général des manuscrits latins, tables",BnF Éditions,1981,1217784067
None,Halloween,Traduit par Michelle Herpe-Voslinsky,1996,1915254467
De Swan Adamson,"Vénus, quand tu nous tiens !",Traduit par Agathe Nabet,2005,1645157207
"De Jean-Louis Humbert, Elisabeth Jouhaud","Histoire Terminales L, ES",Bordas,2007,1888190577
De Vladimir Ilʹič Lenin,Textes philosophiques,"Traduit par Sylvie Pelta, Françoise Sève",1982,1726445327
De Jean-François Chabas,Reine des heures (La),École des Loisirs,2008,1724412577
De Pierre Seghers,Monsu desiderio,Robert Laffont,1981,1713997527
De Gertrud Kolmar,Mondes - Poèmes - Edition bilingue,Traduit par Jacques Lajarrige,2001,1703378467
De Alain Frèrejean,"Terre d'inventeurs. Conté, Niepce, Thimonnier, Lumière, Renault...",Tallandier,2000,1700477767
Slimane Hedi,Hedi Slimane Stage /anglais,Steidl,2004,70290047
"None88None-None979, cent ans d'histoire de la poupée française",Poupées et bébés en celluloïd,Dauphin,1998,1219189837
Comprendre et agir,L'Enfant anorexique,Odile Jacob,2003,1197386807
De Cmax,"Mancha, chevalier errant",Futuropolis,2007,1180698827
De Guillaume Clément,Le Nord Pas-de-Calais,"Illustrations de Pierre Cheuva, Jean-Claude Carton",1994,1198186567
"De Michel Born, Anne-Marie Lionti",Familles pauvres et intervention en réseau,Harmattan,1997,1197054577
Lotus,Word Pro 9 - Lotus,Éditions ENI,1999,1189493697
De Fériel Assima,Rhoulem ou Le sexe des anges,Arléa,1996,1065907577
Chants grégoriens des moines de l'abbaye de silos,Musique du silence,Altinéa,1996,1025672037
Doremus Gaetan,Ce N'Est Pas Parce Que,Seuil Jeunesse,2008,1914531127
De Louis-René Des Forêts,La Chambre des enfants,Gallimard,1983,1865234747
Jacques Prevert,En Sortant De L'Ecole,Gallimard Jeunesse,1981,1864919227
De Patricia Lepic,Recettes Au The Avec Kusmi Tea,Illustrations de Francis Waldman,2007,1854292157
contes marocains,Le lys et le basilic,Illustrations de Agnès Molnar,1989,1726438247
pourquoi et comment mesurer l'impact des publications d'entreprise,Écrire pour être cru,Eyrolles,1993,1723464037
le guide illustré,Réussir la vente,Illustrations de Jean-Louis Fiszman,1988,1227391437
De François Rosset,Froideur,Michalon,2000,1093638927
L'éducation en Colombie de None9None8 à None957,Civiliser le peuple et former les élites,Harmattan,2004,1077476157
Ko,1000 chairs,"Traduit par Klaus Binder, Jeremy Gaines, Jacques Bosser",2000,112642687
De Pär Lagerkvist,Barabbas,"Autres contributions de Gerd de Mautort, Marguerite Gay",1997,1682461357
Pièce en deux actes,La prochaine fois je vous le chanterai,Traduit par Jacques Brunius,1995,1864758297
"la tragédie de la mort chez les Batãmmariba du Togo, Bénin",Le souffle du mort,Pocket,2007,1669324497
None+CD,Winnie At The Seaside Livre Et Cd,Oxford University Press,2007,552194259
Wilton Andrew,Turner in his Time /anglais,Thames & Hudson,2007,859705309
De Christian Prouteau,Au service du président,Michel Lafon,1999,1094515487
De Philippe Souchard,Le stretching global actif,Désiris,1996,1027846907
None,Guide zagat des restaurants de paris 2004-2005(francais),Zagat Suvey,2004,1929533069
De Andrei Boris Nakov,Nemours au prieuré de Salagon,Ereme,2004,1020163237
Phaidon,Andrea Del Castagno,Phaidon,1999,1074281269
Collectif,Mathematiques Obl.& Spe. Term S  Edition 2005,Nathan,2005,1843628857
de l'amour qui souffre à l'amour qui s'offre,Qui aime quand je t'aime ?,Pocket,2007,1669333827
"une culture de la tolérance, VIIIe-XVe siècle",L'Andalousie arabe,Traduit par Mélanie Marx,2003,1188796607
"Essai sur l'image, le regard et le point de vue",L'utopie cinématographique,Harmattan,1997,1197047107
De CapitaniNone Gr,Moments De Grace,Ramsay,2007,1094351157
De Sophie Druffin-Bricca,"L'essentiel du droit des biens (Collection ""Les Carrés"")",Gualino,2000,1093497177
De Augustin Buzura,Chemin de cendres,Les Éditions Noir sur Blanc,1993,1052999847
"contre les maquis et les partisans, None942-None945","La longue marche de la Division 157 - contre les maquis et les partisans, 1942-1945",Grancher,2004,1201591367
Illustrations de Pierre Fouillet,Le maître voleur,Édité par Patrick Hétier,2002,1090237827
bergson henri,L'energie spirituelle (7e ed),PUF,2003,1804962977
"De Morris, René Goscinny",Lucky Luke (english version) - Tome 12 - The Rivals of Painful Gulch,Cinebook,2008,2030039687
De Jean Lacouture,Survive le peuple cambodgien !,Seuil,1978,1915450047
De David Pelham,C'est Noël !,Gallimard Jeunesse,2007,1864884577
De Agnès Vandewiele,Les baleines,"Illustrations de Bernard Alunni, Marie-Christine Lemayeur, Jacques Dayan",2007,1720415817
De Jean-Yves Tadié,La critique littéraire au XXè siècle,Pocket,2005,1669346537
Du japonisme à l'Art nouveau,Félix Bracquemond et les arts décoratifs,Réunion des Musées Nationaux,2005,1223652117
Illusions et réalitésNone Essai de problématique sur le sous-emploi rural et les conditions objectives de son utilisation à des fins d'accumulation du capital,Investissements humains,EHESS – Ecole des hautes études en sciences sociales,1995,1222294477
Billets d'humour et d'amour,Fais pas la grimace à Dieu,Harmattan,1993,1197082047
De ʿAzmī Bišāraẗ,Checkpoint,Traduit par Rachid Akel,2004,1192748397
Tome I Analyse des symptômes - Volume I,"Volume I, [Études cliniques et expérimentales sur les idées obsédantes...] - Les obsessions et la psychasthénie",Harmattan,2005,1187907707
De Stéphanie Benson,La disparue de la 6e B,Illustrations de Jacques Ferrandez,2004,1186998167
De Paul Halter,La quatrième porte,Éditions du Masque,1994,1233082697
Écrits politiques,Actuelles (Tome 1),Folio,1997,1865170557
Collectif,Diogène,Gallimard,1998,1864746267
De Sébastien Siraudeau,maison d'hôtes,Flammarion,2008,1854285227
Bourassin Pascal,Concours Professeur Des Ecoles Sciences Et Techno 2008,Nathan,2007,1844282547
Whiteread R/Wood C/Burn G,Rachel Whiteread Embankment (Unilever) /anglais,Tate,2006,2081124577
None,Mouchon 1ere gerbe,Ophrys,2002,1227495357
"Espérances contrariées, marginalités récupérées - Propos sur des utopies abandonnées","Jeunesse Et Sports - Esperances Contrariees, Marginalites Recuperees - Propos Sur Des Utopies Abando",Harmattan,2003,1187980427
de l'étant au monde,Parmenide,Verdier,2006,1071175537
les 6 premiers volumes,Dictionnaire Harry Potter Anglais-Français- Les 6 premiers volumes,Temps,2007,1092756267
"De Aline Faure, Catherine Fournié, Josiane Hélayel",Place aux maths ! Entraînement et soutien en mathématiques CM1 2006 Fiches à photocopier,Bordas,2006,1888178697
None,Poemes de la folie de holderlin,Gallimard,1963,1865265597
Collectif,La Nouvelle Revue Française,Gallimard,1977,1865204217
De Daniel Hameline,Courants et contre-courants dans la pédagogie contemporaine,Éditions Sociales Françaises – ESF,2000,1225385837
None,Chuchote pas trop,Harmattan,2005,1187910387
None,Banlieue,400 Coups,2005,1089539617
De Marius von Mayenburg,Eldorado / L'Enfant froid,Traduit par Laurent Muhleisen,1990,1083684767
du plaisir de peindre,Richard parkes bonington : du plaisir de peindre,Paris-Musées,1993,1056499587
De Jean-Paul Ferrand,"La conscience, l'inconscient et le sujet",Ellipses,2001,1205692647
Collectif,rev.etud.comp.est-ouest 2001 v.32 n.3,PUF,2002,1712533187
De Charles Antoine,Les Moyennes,Que sais-je ?,1998,1805007237
De Guy Des Cars,Justiciere (La),J'ai Lu,1999,1658288657
De Poul Anderson,Les Croisés du Cosmos,Traduit par Claude Saunier,2004,1865186397
De Théophile Gautier,Émaux et Camées,Autres contributions de Claudine Gothot-Mersch,1981,1865178197
De Claude Roy,Le Chariot de terre cuite,Gallimard,1988,1864786727
Jean-Albert Grégoire,Les Fanatiques,Flammarion,1992,1854992817
"De Arnaud Parienty, Monique Abellard",Sciences économiques et sociales 2de / cours + exercices,Nathan,2006,1843628567
Collectif,Pouvoirs n°54 : La Belgique,Seuil,1994,1805069167
"Max Becker, Stefan Schickhaus",Mozart,Chronique,2006,1730441417
De Louis Calaferte,La Vie parallèle,Denoël,1974,1728279777
Mike Resnick,Coffret Resnick 3V/95,Denoël,1995,1728194537
Natacha Seret,Bougies,Fleurus,2005,1720421757
jardins secrets,Gilbert Bécaud. Jardins secrets,France-Empire,2001,1230690987
None,Reserves nature en retagne,Ouest-France ,1989,1198189827
De Marjorie Bedez,La rose d'une femme,Société des écrivains,2003,1187496997
None,Just words and colors - poésie,Société des écrivains,2007,1187467387
"le Club des Jacobins, None95None-None958",La République impatiente ou le club des Jacobins (1951-1958),Publications de la Sorbonne,1995,1076058887
De Pierre Lucas,L'auto-stoppeuse,Vauvenargues,2002,1191192957
Applegate Katherine,"Ocean city - 5 loin des yeux, loin du coeur -",J'ai Lu,2008,1645178537
None,Presentoir Terre De Poche Plein 18Vols,De Borée,2005,1090557057
Handbook (NoneSt Edition),Glasgow Handbook 1,Gallimard Loisirs,2002,2032029047
"Volume None, Le Monde grec",Histoire de l'éducation dans l'Antiquité,Points,1981,1915440147
Illustrations de Pef,Le petit Motordu,Gallimard Jeunesse,2006,1864921937
De Giulio Caccini,"Nuove Musiche (Florence,1601) Nuove Musiche e nuova maniera di scriverle (Florence, 1614)",Cerf,1997,1731445257
Collectif,Cahiers Buzzati - tome 2,Robert Laffont,1978,1714482757
Esposito Hayter CNone,The Monotype : The History of a Pictorial Art /anglais,Skira,2008,630833357
Collection Incandesciences,"Incandesciences

Physique-Chimie 5e (2006) - Manuel élève",Magnard,2007,1725487287
Bigot,Revue Generale Droit Assurances 1 2003,Librairie générale de droit et de jurisprudence,2003,1660476847
De Françoise Bourdin,L'Inconnue de Peyrolles,Belfond,2007,1221058957
Carre J M,Voyageurs Et Ecrivains Francais En Egypte T1,Ifao,1989,1210799457
"De Jean-Paul Rousseau, Georges Rémond",Devenons Vrais Lecteurs Cahier,Retz,1991,1209889777
Une clinique de l'interface soma-psyché,Maternité et traumatismes sexuels de l'enfance,Penta,2006,1639491557
None,Et si l'on arrêtait la mer ?,Harmattan,2000,1197072147
None,Pique assiette 2 le livre,Éditions Slatkine,2007,1103398197
None,Une pomme oubliée / Le tilleul du soir,Bartillat,1998,1094498927
DNoneAl-Achqar,L'Authentique Des Recits Prophetiques,Sabil,2007,1021254217
"l'Europe élargie et ses voisins Russie, Proche-Orient, Maghreb",Atlas d'une nouvelle Europe,Illustrations de Delphine Digout,2004,1188795907
ouvrage Collectif sous la direction de Philippe Tranchart,Tréguier,Fou De Bassan,2006,983118677
- Grand Prix Des Lectrices De Elle None995,L'alchimiste,Traduit par Jean Orecchioni,1999,1658259087
"Volume 3, Le monde du vivant avec les 2 ans : langage, motricité, arts plastiques, Volume 3, Le monde du vivant avec les 2 ans : langage, motricité, arts plastiques, Volume 3, Le monde du vivant avec les 2 ans : langage, motricité, arts plastiques",Le Monde Du Vivant Avec Les 2 Ans T3 2/3 Ans,Nathan,2004,1844282267
leçons d'histoire de la philosophie du droit et de l'État,entre modernité et mondialisation - 2ème édition,Librairie générale de droit et de jurisprudence,2004,1660475287
Mouleur à la main dans une fonderie du Doubs,Tarvildo Targani,Harmattan,2006,1639492677
des thérapies actives pour guérir,Blessures de famille,Retz,2005,1209875947
De Dan Bechmann,"Ville et immigration, prière d'insérer",Harmattan,2000,1197065917
Andre Blavier,Le Mal du Pays ou les Travaux Forc(En)Es,Yellow now,1996,1062099767
De Conseil interdiocésain des laïcs,Pratiquer la démocratie dans l'Eglise ?,Fidélité,2003,1061937847
pronostics à long terme,Cancers,EDP sciences,2006,1079511807
De René Bruneau,Les miroirs de Venise,Art et Comédie,2000,1091278737
chroniques d'un Touareg en France,Y'a pas d'embouteillage dans le désert,Éditions de la Loupe,2006,1086818807
Édité par Jean-Pierre Drège,Catalogue des estampages chinois de l'Ecole française d'Extrême-Orient,EFEO – École française d'Extrême-Orient,2004,1080103927
"London, Jack","Le Fils du loup London, Jack",Gallimard Jeunesse,1998,1864986267
enquête sur les ultras du football,Generation Supporter,Robert Laffont,1990,1714431147
De Jean Monnet,Mémoires,Le Livre de poche,1988,1682453307
"Tome XXIV, None583",Correspondance,Droz,2002,1335493347
guide d'observation sur le terrain,Découvrir une agriculture vivrière,Édité par Institut panafricain pour le développement,1977,1228693867
cours et exercices corrigés,"Manuel de physique générale.

3 - Manuel de physique générale Spé. Mécanique des systèmes matériels solides et fluides cours et exercices corrigés",Ellipses,1998,1205655567
De Saigon à Angkor,Au fil du Mékong,Gallimard Loisirs,2004,1193085967
